id,title,style,soundcloud,youtube,track_count,track_id
7q0hpq1,"Steve Aoki @ Dim Mak Stage, Tomorrowland, Belgium 2014-07-18","Electro House, Progressive House",[],['AZnZg2QZLOo'],12,"['1khd9nuf', '4k1kv2p', '2nvvbkh5', '1j95bzf', '2dk00rh5', '25zpz9mx', '23t2505', '2vcw9nrf', '12n6yclf', 'bfzyjv5', '2nwmq8np', 'w3hgvlp']"
28rv66fk,"Chris Metcalfe @ Mainstage, Luminosity Beach Festival, Fuel Beachclub Bloemendaal, Netherlands 2016-06-24",Trance,"['277790100', '276651104']",['jKOImSTvjLg'],13,"['1ypzrvp5', 'zyhkfhf', '2wdn4f3f', 'k19vn55', '12rx7y7x', '2kbb3pcp', 'z0qmrn5', 'tftdpnx', '1kn0676p', 'kzgf3h5', '15kwlzgx', '2umyj3z5', 'nsvc6zp']"
73b0uk9,Blasterjaxx @ SLAM!FM De Avondploeg 2013-04-19,"Electro House, Progressive House",[],['AMHZvBTguC8'],7,"['ktz047p', 'yulg2vp', '29q47zwx', 'mp1ccyx', '1yjnnbvp', '2j71q2jx', 'ztpwlmp']"
1tvm6kdt,"Ruben de Ronde & Rodg @ Mainstage, A State Of Trance Festival 800, Jaarbeurs Utrecht, Netherlands 2017-02-18","Trance, Progressive House","['308498356', '308511178']","['P31uJHKxgiY', 'lhKOfNicdII']",15,"['1u2lyqdx', '1kpxj8cp', '14nt1d7p', 'w8xbthf', '1t4f769f', 'fd2lwgf', 'ps9p3xp', '1fz1tr6f', '2cskhc85', '1u22q92p', 'h765qsx', 'g9w8fz5', '28z2byqx', '22gfzgxf', '2trvw7hx']"
c8qyx29,Julian Jordan - Revealed Radio 058 2016-04-08,"Electro House, Progressive House",[],['EplL149Fj44'],18,"['1r79shpf', '14m8cnlp', '2645t2gp', '1fx8km8p', 'tfm0blx', '2k9t8v5p', '1gv1bhtp', 'j39w4r5', '2umhunk5', 'x4tmru5', '22dtc3j5', '23bf6mwx', 'f9wvj4x', '2cqpdmx5', '1xq9p5t5', 'rl2980p', '1gvjwgcx', '1ypm08q5']"
13jb1k9t,Morgan Page - In The Air 346 2017-01-31,"House, Electro House, Progressive House",['305457444'],[],17,"['2tr8mytf', '1qbqmv8p', '2gk608r5', 'rmb5gwf', '1vxmku7f', '13qpclpf', '29w1ftlp', '2vl2zczx', 'tgw1l0x', '1r8jjgd5', '1qbtdj5x', '14nkbfwp', '1gv28dup', '257lt0kf', 'z1qcflp', '265fz4s5', '2kc2m6mf']"
4mhbvjk,Eddie Halliwell - Fire It Up 251 2014-04-21,"Electro House, Progressive House",['145780988'],[],19,"['1p74zdwf', '2rqyuyuf', 'd8n3z2x', '2qt8ztb5', '169qsp65', '236q0k3x', '12n8c465', '1zhf031p', 'w2xmw35', 'g4n0cxx', '2dk7kw8p', '260jm99f', '9hm1h15', '2qstjkp5', 'mpt5015', '28u32npx', '1zj5pwhp', '1b2nr47x', 'qh0mcjx']"
5ulyb01,John Dahlbäck - Mutants Radio 149 2014-10-09,"House, Electro House, Progressive House",['171392349'],[],19,"['1uvnz535', '2wdtpyrx', 'h1ws3l5', '2nx1xj0x', '13lzp2c5', '1p8rgz45', 'xwucn3f', 'lubgkzx', 'j14hyuf', 'f7py7y5', '2l4wxkw5', '1wqw90zx', 'sf1v92p', '1q5r67b5', '9jh47sx', '195qx8wx', '1jn1vnzx', 'scsdrvp', '2tmjsp9p']"
3wugv1t,Andy Moor - Moor Music 155 2015-10-09,"Trance, Progressive House",['227525965'],[],12,"['1r6cr7wx', '2tp8h79f', 'sfsmxhp', '2vjstxd5', 'tds28nx', 'tctxy85', '1wtcdlsf', '10v2f7nx', '1kmn5rhx', '2tp1myq5', '1s47ktfx', 'cfn0s75']"
13jkf6b9,MONSTERCAT - Podcast Call Of The Wild 152 2017-05-16,"Dubstep, Electro House, Progressive House",['323263293'],[],17,"['2vjdfdwx', '2650tqfp', '1qbv4c9f', '1gwb0cyp', 'w52l2rf', 'y32dxwx', '2ssnnxk5', 'k35l8t5', '1q62k0q5', '1s6w29d5', '1pbwudmp', 'nt1ld15', 'mwlsqwx', '1u2g7cn5', '1pc4hchf', '1tzbqsdx', '2gl12w5f']"
3hhjxf9,Franky Rizardo - Flow 15 2013-12-21,"House, Tech House",['126210144'],[],15,"['wzrm9h5', 'kuku4wf', 'lsq63g5', '26wthb25', '8874fjx', '2mxfhqk5', 'c9xzryx', '1cx0m2dp', '227fpqg5', 'zt4lp0x', '1dm3s5f', '1q5188fp', '1tvr0gsp', '28tfh9nf', '2gc3x1xx']"
1r20bcv9,W&W - Mainstage Podcast 338 2016-12-02,"Electro House, Progressive House",['295916204'],[],18,"['2st8f405', 'g926v5f', '2m5v0z4x', 'zz9dxyf', '2wjf0dhx', 'mvbxj8f', '1jqpfqbp', '1t3zl9uf', '2pzvh6c5', '1gw54z9p', '28yn1785', '1u15b43x', '272ktk7f', 'uddx34f', 'bkvldrp', '2m69nj2x', 'sjwvyqx', '2unrkbnp']"
10gngf1,Steve Aoki - Aoki's House 193 2015-10-16,"Electro House, Progressive House",['228732883'],['9nHTtIhIDI8'],15,"['21g9lvr5', '1ynlffm5', '11swnpg5', 'cfw8wcx', '20jh54sf', '1uxh8gkp', '2k8yfn1x', 'yup0fn5', '1pbrq8p5', '1q6g88p', 'yzmbc05', 'j2r6plp', 'nruzr7x', '92sp0s5', '17fcflhp']"
